UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,AIRCRAFT_TYPE,MONTH
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,11292,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,13487,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,14492,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,13341,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15016,14108,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15016,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14108,11433,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14108,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,14683,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,12266,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,12206,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,10747,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12266,11150,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,11977,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,14107,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,11433,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,13930,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,14122,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10868,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10868,14761,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11150,14683,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11150,10185,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,16218,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14696,15295,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14696,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14696,14696,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14696,10693,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,13303,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,11066,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,11618,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,10466,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10747,13303,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11267,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13871,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13871,11977,614,10
